trading_day,target,wd_Monday,wd_Thursday,wd_Wednesday,wd_Thursday,wd_Friday,up_flg,down_flg,up_cnt_rolling5_0.0,up_cnt_rolling5_1.0,up_cnt_rolling5_2.0,up_cnt_rolling5_3.0,up_cnt_rolling5_4.0,up_cnt_rolling5_5.0,up_must_length,down_must_length,box_length,RCI9_p,RCI9_m,RCI9_slope_p,RCI9_slope_m,RSI,RSI_slope,cross_25_50_-1,cross_25_50_1,cross_25_75_-1,cross_25_75_1,cross_50_75_-1,cross_50_75_1,MA25_slope_p,MA25_slope_m,MA50_slope_p,MA50_slope_m,MA75_slope_p,MA75_slope_m,MA25_dev_p,MA25_dev_m,BLGR_sigma_p_dev_p,BLGR_sigma_p_dev_m,BLGR_2sigma_p_dev_p,BLGR_2sigma_p_dev_m,BLGR_sigma_m_dev_p,BLGR_sigma_m_dev_m,BLGR_2sigma_m_dev_p,BLGR_2sigma_m_dev_m
2013-06-03,0,1,0,0,0,0,0,1,0,1,0,0,0,0,95,228,354,91.66666666666666,0.0,1.6666666666666572,0.0,35.43476533327397,-3.0467529639118354,0,0,0,0,0,0,0.0,-28.280000000000655,14.139999999999418,0.0,23.23999999999978,0.0,0.0,-0.09004759006142433,0.0,-0.1296121539517136,0.0,-0.16587955779331706,0.0,-0.046714824799206994,0.0009513952994090219,0.0
2013-06-04,0,0,0,0,0,0,1,0,0,1,0,0,0,0,146,195,327,91.66666666666666,0.0,0.0,0.0,42.363963006232034,6.929197672958061,0,0,0,0,0,0,0.0,-12.079999999999927,20.26000000000022,0.0,28.54666666666708,0.0,0.0,-0.060002547643706446,0.0,-0.10168755363713919,0.0,-0.13983243377848406,0.0,-0.014260609446647,0.03616080766196443,0.0
2013-06-05,0,0,0,1,0,0,0,1,0,1,0,0,0,0,161,29,695,86.66666666666667,0.0,0.0,-4.999999999999986,35.64403675850262,-6.719926247729411,0,0,0,0,0,0,0.0,-35.31999999999971,8.1200000000008,0.0,19.493333333333794,0.0,0.0,-0.10558385498355238,0.0,-0.1484763290537259,0.0,-0.18744317117216666,0.0,-0.05814106344116688,0.0,-0.005383303109971113
2013-06-06,0,0,1,0,1,0,0,1,0,1,0,0,0,0,346,385,224,90.0,0.0,3.3333333333333286,0.0,33.85060942571609,-1.7934273327865355,0,0,0,0,0,0,0.0,-46.95999999999913,5.299999999999272,0.0,18.573333333331902,0.0,0.0,-0.11755941191051106,0.0,-0.16385842114040386,0.0,-0.20554128551794676,0.0,-0.06583248998486504,0.0,-0.007663698710282268
2013-06-07,0,0,0,0,0,1,1,0,0,0,1,0,0,0,74,146,572,95.0,0.0,5.0,0.0,42.03964978298641,8.189040357270322,0,0,0,0,0,0,0.0,-36.48000000000138,16.56000000000131,0.0,22.973333333333358,0.0,0.0,-0.07636207276859626,0.0,-0.1266462791925954,0.0,-0.17173807581643705,0.0,-0.019933788908839904,0.043837935475810885,0.0
2013-06-10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,141,146,240,83.33333333333334,0.0,0.0,-11.666666666666657,46.61836826193578,4.578718478949369,0,0,0,0,0,0,0.0,-23.599999999998545,30.55999999999949,0.0,31.90666666666766,0.0,0.0,-0.049737246160773504,0.0,-0.10227334446924718,0.0,-0.14930476630234107,0.00933002219424801,0.0,0.07622709275933894,0.0
2013-06-11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,88,651,48.33333333333333,0.0,0.0,-35.000000000000014,40.680027375128226,-5.938340886807552,0,0,0,0,0,0,0.0,-50.04000000000087,16.139999999999418,0.0,20.946666666666715,0.0,0.0,-0.0896219001537995,0.0,-0.14236671819521363,0.0,-0.18933446297099818,0.0,-0.029964283742250544,0.0380604315348119,0.0
2013-06-12,0,0,0,1,0,0,1,0,0,0,0,1,0,0,383,171,8,36.66666666666667,0.0,0.0,-11.666666666666657,41.34618722229711,0.6661598471688848,0,0,0,0,0,0,0.0,-53.55999999999949,17.159999999999854,0.0,21.22666666666555,0.0,0.0,-0.08259594499801393,0.0,-0.13775611714427954,0.0,-0.18665933575210938,0.0,-0.01989592400873036,0.052003287520463945,0.0
2013-06-13,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,548,94,33.333333333333336,0.0,0.0,-3.3333333333333357,40.39780163724285,-0.9483855850542611,0,0,0,0,0,0,0.0,-64.71999999999935,0.0,-1.139999999999418,18.533333333334667,0.0,0.0,-0.08539950360972523,0.0,-0.14234762723536235,0.0,-0.19261962839493546,0.0,-0.020350789065610678,0.0546592612187376,0.0
2013-06-14,1,0,0,0,0,1,0,1,0,0,1,0,0,0,34,71,502,31.666666666666664,0.0,0.0,-1.6666666666666714,36.79852336208698,-3.599278275155868,0,0,0,0,0,0,0.0,-89.40000000000146,0.0,-12.100000000000364,11.053333333333285,0.0,0.0,-0.10748869319541117,0.0,-0.1656610026862741,0.0,-0.2167141875104317,0.0,-0.04059656193277686,0.03713484573576271,0.0
2013-06-17,1,1,0,0,0,0,1,0,0,0,1,0,0,0,270,46,368,38.33333333333333,0.0,6.666666666666664,0.0,42.370370956505695,5.571847594418713,0,0,0,0,0,0,0.0,-77.55999999999949,0.0,-9.579999999999927,15.746666666665988,0.0,0.0,-0.0742517405212829,0.0,-0.1353887341736111,0.0,-0.1889509221816433,0.0,-0.0038108223444489452,0.0782327624154704,0.0
2013-06-18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,104,61,219,55.00000000000001,0.0,16.66666666666668,0.0,45.87021107277189,3.499840116266192,1,0,0,0,0,0,0.0,-74.47999999999956,0.0,-1.6599999999998545,18.280000000000655,0.0,0.0,-0.049925859810258724,0.0,-0.1120756789367305,0.0,-0.16659359016000977,0.021579055673375192,0.0,0.10472324281493009,0.0
2013-06-19,0,0,0,1,0,0,0,1,0,0,1,0,0,0,198,130,75,66.66666666666667,0.0,11.666666666666664,0.0,45.836778474828016,-0.033432597943871656,0,0,0,0,0,0,0.0,-79.28000000000065,0.0,-5.600000000000364,14.453333333332921,0.0,0.0,-0.044690197577410766,0.0,-0.10584689478583884,0.0,-0.15964448745948676,0.02544647019871177,0.0,0.1066976916687913,0.0
2013-06-20,1,0,1,0,1,0,0,1,0,0,1,0,0,0,130,76,337,35.0,0.0,0.0,-31.66666666666667,41.821054452337435,-4.015724022490581,0,0,0,0,0,0,0.0,-87.15999999999985,0.0,-13.340000000000146,9.200000000000728,0.0,0.0,-0.0653613246530712,0.0,-0.12472537432809894,0.0,-0.17699871830362013,0.002641148146974739,0.0,0.08131554139837269,0.0
2013-06-21,0,0,0,0,0,1,1,0,0,0,0,1,0,0,80,95,597,28.333333333333332,0.0,0.0,-6.666666666666668,48.98220375908307,7.161149306745635,0,0,0,0,0,0,0.0,-80.15999999999985,0.28000000000065484,0.0,12.466666666665333,0.0,0.0,-0.019859299428403927,0.0,-0.07856668769260956,0.0,-0.13063873153284533,0.04683801319243125,0.0,0.12327546202646154,0.0
2013-06-24,0,1,0,0,0,0,0,1,0,0,1,0,0,0,45,212,430,1.6666666666666718,0.0,0.0,-26.66666666666666,45.14604413697246,-3.836159622110607,0,0,0,0,0,0,0.0,-91.44000000000051,0.0,-0.12000000000080036,8.079999999999927,0.0,0.0,-0.03906877095235843,0.0,-0.09309769858131854,0.0,-0.1413744299264485,0.021805545711938427,0.0,0.09091419151333945,0.0
2013-06-25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,59,285,147,0.0,-5.000000000000004,0.0,-6.666666666666677,47.1211425902629,1.9750984532904354,0,0,1,0,0,0,0.0,-92.79999999999927,0.0,-3.6599999999998545,12.493333333333794,0.0,0.0,-0.020930398402586304,0.0,-0.0696842881308559,0.0,-0.11381298339004307,0.03321606097636046,0.0,0.09370215860080253,0.0
2013-06-26,1,0,0,1,0,0,0,1,0,0,1,0,0,0,40,276,169,3.3333333333333326,0.0,8.333333333333337,0.0,45.340330421970826,-1.7808121682920728,0,0,0,0,0,0,0.0,-104.80000000000109,0.0,-5.219999999999345,9.266666666666424,0.0,0.0,-0.025002695224062895,0.0,-0.06366010166220658,0.0,-0.09936897926505493,0.01698416252010199,0.0,0.0627499623518654,0.0
2013-06-27,1,0,1,0,1,0,1,0,0,0,0,1,0,0,49,164,367,31.666666666666664,0.0,28.333333333333332,0.0,50.147780380821345,4.807449958850519,0,0,0,0,0,0,0.0,-54.43999999999869,2.039999999999054,0.0,12.426666666666279,0.0,0.0069520662250460484,0.0,0.0,-0.027560971954566478,0.0,-0.05978655988865544,0.044005069854507764,0.0,0.08388914143920771,0.0
2013-06-28,1,0,0,0,0,1,1,0,0,0,0,1,0,0,99,80,291,26.66666666666667,0.0,0.0,-4.999999999999993,53.57571650940785,3.427936128586502,0,0,0,0,0,0,0.0,-23.399999999999636,2.2600000000002183,0.0,15.933333333334303,0.0,0.03056527842206405,0.0,0.0,-0.0022517187265861135,0.0,-0.03304318784717798,0.0656144662345942,0.0,0.10313161127635596,0.0
2013-07-01,1,1,0,0,0,0,1,0,0,0,0,0,1,0,90,196,185,0.0,-3.3333333333333437,0.0,-30.000000000000014,56.455550638917884,2.879834129510037,0,0,0,0,0,0,0.7599999999983993,0.0,7.180000000000291,0.0,20.386666666667224,0.0,0.05000948803754257,0.0,0.016490815719612018,0.0,0.0,-0.014954073128605763,0.0858140875844357,0.0,0.12414671546813029,0.0
2013-07-02,0,0,0,0,0,0,1,0,0,0,0,0,1,0,140,57,225,0.0,-25.0,0.0,-21.666666666666657,58.89414044548632,2.4385898065684373,0,0,0,0,0,0,0.0,-10.839999999998327,8.55999999999949,0.0,22.826666666665915,0.0,0.06820086456895141,0.0,0.03607143305110963,0.0,0.0058183478873234384,0.0,0.10238679012346685,0.0,0.13883318109665949,0.0
2013-07-03,1,0,0,1,0,0,0,1,0,0,0,0,1,0,47,243,207,0.0,-25.0,0.0,0.0,56.59394639576257,-2.30019404972375,0,0,0,0,0,0,0.0,-0.040000000000873115,2.0799999999999272,0.0,17.76000000000022,0.0,0.05652272213429799,0.0,0.02474991894742574,0.0,0.0,-0.005167669366530804,0.09032882700824588,0.0,0.12636986716624113,0.0
2013-07-04,0,0,1,0,1,0,1,0,0,0,0,0,1,0,67,101,97,0.0,-33.33333333333333,0.0,-8.333333333333329,57.785304633436844,1.1913582376742724,0,0,0,0,0,0,16.31999999999971,0.0,2.720000000001164,0.0,21.079999999999927,0.0,0.06305305404762553,0.0,0.029264465196670832,0.0,0.0,-0.0024423851573359386,0.09913535741977947,0.0,0.1377531421886215,0.0
2013-07-05,0,0,0,0,0,1,1,0,0,0,0,0,1,0,35,91,188,0.0,-33.33333333333333,0.0,0.0,61.05090336773728,3.2655987343004327,0,0,0,0,0,0,38.52000000000044,0.0,11.779999999998836,0.0,25.826666666665915,0.0,0.08212046977447941,0.0,0.04382912971821403,0.0,0.008155089319877188,0.0,0.1233281134015882,0.0,0.16779841236475176,0.0
2013-07-08,0,1,0,0,0,0,0,1,0,0,0,1,0,0,41,255,151,0.0,-35.00000000000001,0.0,-1.6666666666666785,59.455832809764956,-1.5950705579723206,0,0,0,0,0,0,46.719999999999345,0.0,9.220000000001164,0.0,25.0,0.0,0.07123411435272722,0.0,0.030769628989669263,0.0,0.0,-0.006749139654638365,0.11500540789755608,0.0,0.16250613300873815,0.0
2013-07-09,0,0,0,0,0,0,1,0,0,0,0,1,0,0,57,129,123,0.0,-33.33333333333333,1.6666666666666785,0.0,60.76881475741818,1.3129819476532205,0,0,0,0,0,0,34.31999999999971,0.0,11.119999999998981,0.0,24.946666666666715,0.0,0.07692124062281802,0.0,0.03344575937385662,0.0,0.0,-0.00665570723737715,0.1242152556431344,0.0,0.1758539962129003,0.0
2013-07-10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,117,65,143,0.0,-33.33333333333333,0.0,0.0,58.4594051289244,-2.309409628493775,0,0,0,0,0,0,56.80000000000109,0.0,10.7400000000016,0.0,24.34666666666817,0.0,0.06286882469350034,0.0,0.018946309451747904,0.0,0.0,-0.021490115367080252,0.11074855073691343,0.0,0.1631455039486603,0.0
2013-07-11,0,0,1,0,1,0,1,0,0,0,0,1,0,0,36,139,140,0.0,-23.33333333333334,9.99999999999999,0.0,61.18943598101415,2.7300308520897474,0,0,0,0,0,0,74.15999999999985,0.0,13.599999999998545,0.0,28.253333333332193,0.0,0.07329873875577725,0.0,0.02823693505516672,0.0,0.0,-0.013193542117609921,0.12249117206243725,0.0,0.17640947314621058,0.0
2013-07-12,0,0,0,0,0,1,0,1,0,0,1,0,0,0,34,135,11,0.0,-23.33333333333334,0.0,0.0,61.42521975118368,0.2357837701695331,0,0,0,0,0,0,52.600000000000364,0.0,8.06000000000131,0.0,28.57333333333372,0.0,0.07054231390799823,0.0,0.02371645973035913,0.0,0.0,-0.019184706628005223,0.12185722879929815,0.0,0.17833923494587978,0.0
